train_id,train_name,source,destination,arrival_time,departure_time,train_type,priority,max_speed
16616,CHEMMOZHI EXP,CBE,MQ,00:30,,Express,3,110
16614,RAJKOT EXPRESS,CBE,RJT,00:45,,Passenger,2,90
06064,DHN CBE PUJA SPL,DHN,CBE,03:45,,Premium,4,130
16615,CHEMMOZHI EXP,MQ,CBE,04:45,,Local,1,60
56113,CBE POY PASSENGER,CBE,POY,05:20,,Express,3,110
22666,CBE SBC UDAY EXP,CBE,SBC,05:45,,Passenger,2,90
12673,CHERAN EXPRESS,MAS,CBE,06:00,,Premium,4,130
20644,MAS VANDEBHARAT,CBE,MAS,06:00,,Local,1,60
22610,INTERCITY EXP,CBE,MAQ,06:00,,Express,3,110
22616,TIRUPATI SF EXP,CBE,TPTY,06:10,,Passenger,2,90
12680,CHENNAI EXPRESS,CBE,MAS,06:20,,Premium,4,130
16617,COIMBATORE EXP,RMM,CBE,06:30,,Local,1,60
12648,KONGU EXPRESS,NZM,CBE,06:30,,Express,3,110
12681,COIMBATORE EXP,MAS,CBE,06:30,,Passenger,2,90
11013,COIMBATORE EXP,LTT,CBE,06:50,,Premium,4,130
22667,COIMBATORE EXP,NCJ,CBE,07:15,,Local,1,60
12084,JAN SHATABDI EXP,CBE,MV,07:15,,Express,3,110
20642,BNC VANDEBHARAT,CBE,BNC,07:25,,Passenger,2,90
16323,CBE MAQ EXPRESS,CBE,MAQ,07:50,,Premium,4,130
03680,CBE DHN SPL,CBE,DHN,07:50,,Local,1,60
16322,CBE NCJ EXPRESS,CBE,NCJ,08:00,,Express,3,110
11014,CBE LTT EXP,CBE,LTT,08:50,,Passenger,2,90
66606,PGTN CBE EMU,PGTN,CBE,09:05,,Premium,4,130
12969,CBE JAIPUR EXP,CBE,JP,09:25,,Local,1,60
56110,POY CBE PASSENGER,POY,CBE,09:25,,Express,3,110
66601,ED CBE MEMU,ED,CBE,10:10,,Passenger,2,90
56604,SRR CBE PASSENGER,SRR,CBE,11:05,,Premium,4,130
66613,MTP CBE MEMU,MTP,CBE,11:40,,Local,1,60
16722,MDU CBE INTERCITY,MDU,CBE,12:10,,Express,3,110
16607,CAN CBE EXP,CAN,CBE,13:45,,Passenger,2,90
12675,KOVAI EXPRESS,MAS,CBE,14:05,,Premium,4,130
12243,SHATABDI EXP,MAS,CBE,14:15,,Local,1,60
22475,HSR CBE AC EXP,HSR,CBE,14:30,,Express,3,110
12676,KOVAI EXP,CBE,MAS,15:15,,Passenger,2,90
12647,KONGU EXPRESS,CBE,NZM,16:25,,Premium,4,130
12970,JP CBE SUP EXP,JP,CBE,16:50,,Local,1,60
66617,MTP CBE MEMU,MTP,CBE,17:30,,Express,3,110
22609,INTERCITY EXP,MAQ,CBE,18:25,,Passenger,2,90
22668,NAGERCOIL EXP,CBE,NCJ,19:30,,Premium,4,130
16324,MAQ CBE EXPRESS,MAQ,CBE,19:55,,Local,1,60
20643,CBE VANDEBHARAT,MAS,CBE,20:15,,Express,3,110
22665,SBC CBE UDAY EXP,SBC,CBE,21:05,,Passenger,2,90
12515,CBE SCL SF EXP,CBE,SCL,22:00,,Premium,4,130
12679,COIMBATORE EXP,MAS,CBE,22:20,,Local,1,60
12674,CHERAN EXPRESS,CBE,MAS,22:50,,Express,3,110
12682,CHENNAI EXP,CBE,MAS,23:30,,Passenger,2,90
